('🤡', '🤬', 102)
('🤬', '😂', 104)
('🤬', '🤣', 100)
('😂', '🤬', 171)
('🤣', '🤬', 153)
('❤️', '❤️', 18535)
('❤️', '👉', 42)
('❤️', '👈', 24)
('💧', '💧', 207)
('💧', '👉', 4)
('💧', '👈', 4)
('🌟', '🌟', 336)
('🌟', '👉', 10)
('🌟', '👈', 10)
('🇺', '🇲', 778)
('🇺', '🇽', 22)
('🇺', '💩', 106)
('🇺', '🧠', 12)
('🇺', '🦴', 3)
('🇺', '🗣️', 13)
('🇸', '🇲', 41)
('🇸', '🇽', 17)
('🇸', '💩', 148)
('🇸', '🧠', 17)
('🇸', '🦴', 3)
('🇸', '🗣️', 6)
('🇲', '🇽', 565)
('🇲', '💩', 5)
('🇲', '🧠', 2)
('🇲', '🦴', 2)
('🇲', '🗣️', 2)
('🇽', '💩', 5)
('🇽', '🧠', 2)
('🇽', '🦴', 2)
('🇽', '🗣️', 2)
('🖕🏿', '🖕🏿', 95)
('🇺', '🔥', 405)
('🇲', '🔥', 7)
('🇲', '💥', 21)
('😂', '👀', 144)
('🤣', '👀', 49)
('🤬', '🤯', 279)
('😮', '🐱', 2)
('😮', '🐔', 2)
('🐱', '🐔', 4)
('🧔🏻', '👶🏻', 4)
('🧔🏻', '🦴', 4)
('🧔🏻', '🗣️', 4)
('🧔🏻', '💩', 4)
('🧔🏻', '🧠', 4)
('🧔🏻', '🤡', 5)
('👶🏻', '🦴', 4)
('👶🏻', '🗣️', 4)
('👶🏻', '💩', 4)
('👶🏻', '🧠', 4)
('👶🏻', '🤡', 4)
('🇬', '🇧', 2421)
('🤷🏻', '👍🏼', 2)
('🤷🏻', '😂', 2)
('👍🏼', '😂', 21)
('🕵🏿♂️', '🖕🏿', 2)
('🕵🏿♂️', '💩', 2)
('🖕🏿', '💩', 13)
('🦴', '👶🏻', 6)
('🗣️', '👶🏻', 6)
('💩', '👶🏻', 6)
('🧠', '👶🏻', 2)
('🤡', '❄️', 38)
('🤡', '🐖', 2)
('🤡', '🧫', 2)
('🤡', '🧔🏻', 2)
('🤡', '👨🏻', 2)
('🤡', '👑', 5)
('🤡', '🦑', 2)
('🤡', '🦄', 5)
('🤡', '🤪', 31)
('🤡', '🤭', 21)
('🤡', '😣', 5)
('🤡', '😖', 4)
('🤡', '😫', 7)
('🤡', '😩', 4)
('🤡', '😤', 6)
('🤡', '😱', 46)
('🤡', '😵', 7)
('🤡', '🤯', 48)
('🤡', '😲', 9)
('🤡', '🥴', 14)
('🤡', '🥶', 20)
('🤡', '💀', 36)
('🤡', '☠️', 63)
('🤡', '🤖', 7)
('🤡', '👋🏻', 4)
('🤡', '✍🏻', 4)
('🤡', '👶🏻', 4)
('🤡', '🧠', 27)
('🤡', '🤑', 96)
('🤡', '🕳️', 8)
('🤡', '⚠️', 5)
('🤡', '🚸', 4)
('🤡', '🚮', 12)
('🤡', '🆖', 10)
('🤡', '🔀', 4)
('🤡', '🔄', 4)
('🤡', '🔃', 4)
('💩', '❄️', 44)
('💩', '🐖', 4)
('💩', '🧫', 2)
('💩', '🧔🏻', 2)
('💩', '👨🏻', 2)
('💩', '👑', 9)
('💩', '🦑', 2)
('💩', '🦄', 5)
('💩', '🤪', 50)
('💩', '🤭', 17)
('💩', '😣', 4)
('💩', '😖', 4)
('💩', '😫', 4)
('💩', '😩', 2)
('💩', '😤', 10)
('💩', '😱', 158)
('💩', '😵', 13)
('💩', '🤯', 125)
('💩', '😲', 25)
('💩', '🥴', 6)
('💩', '🥶', 10)
('💩', '💀', 124)
('💩', '☠️', 259)
('💩', '🤖', 31)
('💩', '👋🏻', 2)
('💩', '✍🏻', 2)
('💩', '🤑', 43)
('💩', '⚠️', 6)
('💩', '🚸', 4)
('💩', '🚮', 14)
('💩', '🆖', 12)
('💩', '🔀', 4)
('💩', '🔄', 4)
('💩', '🔃', 4)
('🦴', '❄️', 24)
('🦴', '🐖', 2)
('🦴', '🧫', 2)
('🦴', '🧔🏻', 2)
('🦴', '👨🏻', 2)
('🦴', '👑', 2)
('🦴', '🦑', 2)
('🦴', '🦄', 2)
('🦴', '🤪', 10)
('🦴', '🤭', 2)
('🦴', '😣', 2)
('🦴', '😖', 2)
('🦴', '😫', 2)
('🦴', '😩', 2)
('🦴', '😤', 2)
('🦴', '😱', 4)
('🦴', '😵', 2)
('🦴', '🤯', 6)
('🦴', '😲', 2)
('🦴', '🥴', 4)
('🦴', '🥶', 10)
('🦴', '💀', 2)
('🦴', '☠️', 2)
('🦴', '🤖', 2)
('🦴', '👋🏻', 2)
('🦴', '✍🏻', 2)
('🦴', '🦴', 4)
('🦴', '🤑', 20)
('🦴', '⚠️', 4)
('🦴', '🚸', 4)
('🦴', '🚮', 12)
('🦴', '🆖', 8)
('🦴', '🔀', 4)
('🦴', '🔄', 4)
('🦴', '🔃', 4)
('🗣️', '❄️', 27)
('🗣️', '🐖', 2)
('🗣️', '🧫', 2)
('🗣️', '🧔🏻', 2)
('🗣️', '👨🏻', 2)
('🗣️', '👑', 2)
('🗣️', '🦑', 12)
('🗣️', '🦄', 2)
('🗣️', '🤪', 48)
('🗣️', '🤭', 2)
('🗣️', '😣', 2)
('🗣️', '😖', 2)
('🗣️', '😫', 2)
('🗣️', '😩', 2)
('🗣️', '😤', 2)
('🗣️', '😱', 12)
('🗣️', '😵', 2)
('🗣️', '🤯', 8)
('🗣️', '😲', 2)
('🗣️', '🥴', 4)
('🗣️', '🥶', 10)
('🗣️', '💀', 7)
('🗣️', '☠️', 15)
('🗣️', '🤖', 3)
('🗣️', '👋🏻', 2)
('🗣️', '✍🏻', 2)
('🗣️', '🦴', 10)
('🗣️', '🗣️', 42)
('🗣️', '🤑', 25)
('🗣️', '🕳️', 6)
('🗣️', '⚠️', 4)
('🗣️', '🚸', 4)
('🗣️', '🚮', 12)
('🗣️', '🆖', 8)
('🗣️', '🔀', 4)
('🗣️', '🔄', 4)
